Singing the Hard Intervals:-M7,3.0,1734674737.825073
Singing the Hard Intervals:M3,3.0,1734674737.825073
Singing the Hard Intervals:M7,3.0,1734674737.825073
Singing the Hard Intervals:m6,3.0,1734674737.825073
Singing the Hard Intervals:-m6,2.5,1734674737.825073
Singing the Hard Intervals:Aug4,2.0,1734674737.825073
Singing the Hard Intervals:-m7,1.0,1734674737.825073
Singing the Medium Intervals:-m2,4.0,1734675230.5260284
Singing the Medium Intervals:-m3,4.0,1734675230.5260284
Singing the Medium Intervals:-M6,3.0,1734675230.5260284
Singing the Medium Intervals:-P4,3.0,1734675230.5260284
Singing the Medium Intervals:m7,2.0,1734675230.5260284
Singing the Medium Intervals:-M2,2.0,1734675230.5260284
Singing the Medium Intervals:-P5,2.0,1734675230.5260284
Singing the Medium Intervals:M6,1.0,1734675230.5260284
Singing the Medium Intervals:-m2,4.0,1734675521.5107362
Singing the Medium Intervals:-m3,4.0,1734675521.5107362
Singing the Medium Intervals:-M6,3.5,1734675521.5107362
Singing the Medium Intervals:-P4,3.0,1734675521.5107362
Singing the Medium Intervals:-P5,2.5,1734675521.5107362
Singing the Medium Intervals:m7,2.0,1734675521.5107362
Singing the Medium Intervals:-M2,2.0,1734675521.5107362
Singing the Medium Intervals:M6,1.0,1734675521.5107362
Singing the Medium Intervals:-m2,4.0,1734676872.1981478
Singing the Medium Intervals:m2,4.0,1734676872.1981478
Singing the Medium Intervals:m3,4.0,1734676872.1981478
Singing the Medium Intervals:M2,4.0,1734676872.1981478
Singing the Medium Intervals:-M6,3.0,1734676872.1981478
Singing the Medium Intervals:-P4,3.0,1734676872.1981478
Singing the Medium Intervals:m7,2.8333333333333335,1734676872.1981478
Singing the Medium Intervals:-P5,2.8,1734676872.1981478
Singing the Medium Intervals:M6,2.5,1734676872.1981478
Singing the Medium Intervals:-m3,2.5,1734676872.1981478
Singing the Medium Intervals:P5,2.5,1734676872.1981478
Singing the Medium Intervals:-M2,2.0,1734676872.1981478
Singing the Hard Intervals:M3,3.0,1734722832.7497354
Singing the Hard Intervals:M7,3.0,1734722832.7497354
Singing the Hard Intervals:-M3,3.0,1734722832.7497354
Singing the Hard Intervals:m6,2.6666666666666665,1734722832.7497354
Singing the Hard Intervals:-M7,2.5,1734722832.7497354
Singing the Hard Intervals:-m6,2.3333333333333335,1734722832.7497354
Singing the Hard Intervals:Aug4,2.0,1734722832.7497354
Singing the Hard Intervals:-Aug4,2.0,1734722832.7497354
Singing the Hard Intervals:-m7,1.0,1734722832.7497354
